,Rankings,College Name,Area Type,Region,Ownership,Student-to-Faculty Ratio,Enrolled Full Time Total,Average GPA,Average SATVR,Average SATMT
209,235.0,Providence College,City: Midsize,New England,Private not-for-profit religious,11.0,1121.0,3.5,640.0,645.0
210,235.0,Hope College,City: Small,Great Lakes,Private not-for-profit religious,11.0,798.0,3.9,620.0,600.0
211,238.0,The College Of New Jersey,Suburb: Large,Mid East,Public,13.0,1550.0,3.7,625.0,630.0
212,238.0,University Of Detroit Mercy,City: Large,Great Lakes,Private not-for-profit religious,11.0,564.0,3.6,575.0,575.0
213,240.0,Southwestern University,Suburb: Large,Southwest,Private not-for-profit religious,12.0,442.0,3.5,630.0,600.0
214,241.0,Drew University,Suburb: Large,Mid East,Private not-for-profit religious,11.0,420.0,3.5,,
215,243.0,University Of The Sciences,City: Large,Mid East,Private not-for-profit independent,7.0,321.0,3.7,600.0,615.0
216,243.0,University Of Alabama At Birmingham,City: Midsize,Southeast,Public,19.0,2245.0,3.6,555.0,555.0
217,245.0,Clark University,City: Midsize,New England,Private not-for-profit independent,10.0,582.0,3.7,,
218,245.0,University Of Georgia,City: Midsize,Southeast,Public,17.0,5703.0,4.0,665.0,660.0
219,245.0,Dominican University Of California,City: Small,Far West,Private not-for-profit independent,9.0,289.0,3.7,562.5,560.0
220,252.0,Widener University,Suburb: Large,Mid East,Private not-for-profit independent,13.0,768.0,3.5,555.0,555.0
221,253.0,The University Of Tennessee-Knoxville,City: Midsize,Southeast,Public,17.0,5205.0,4.0,620.0,620.0
222,254.0,Cornell College,Town: Fringe,Plains,Private not-for-profit religious,12.0,296.0,3.5,605.0,595.0
223,254.0,George Mason University,Suburb: Large,Southeast,Public,17.0,3664.0,3.7,615.0,605.0
224,256.0,Hanover College,Town: Distant,Great Lakes,Private not-for-profit religious,12.0,356.0,3.6,580.0,570.0
225,256.0,Adelphi University,Suburb: Large,Mid East,Private not-for-profit independent,12.0,1237.0,3.5,585.0,590.0
226,256.0,Washington State University,Town: Distant,Far West,Public,15.0,5048.0,3.4,560.0,555.0
227,256.0,Suffolk University,City: Large,New England,Private not-for-profit independent,15.0,1226.0,3.2,570.0,555.0
228,256.0,University Of South Carolina-Columbia,City: Midsize,Southeast,Public,17.0,5849.0,4.0,635.0,640.0
229,261.0,College For Creative Studies,City: Large,Great Lakes,Private not-for-profit independent,10.0,245.0,3.2,560.0,515.0
230,262.0,Rutgers University-Camden,City: Small,Mid East,Public,15.0,817.0,,545.0,545.0
231,262.0,California Institute Of The Arts,Suburb: Large,Far West,Private not-for-profit independent,7.0,216.0,3.3,,
232,264.0,Valparaiso University,Suburb: Large,Great Lakes,Private not-for-profit religious,11.0,756.0,3.7,585.0,585.0
233,265.0,Tuskegee University,Town: Distant,Southeast,Private not-for-profit independent,14.0,538.0,3.1,490.0,470.0
234,267.0,Alma College,Town: Distant,Great Lakes,Private not-for-profit religious,12.0,404.0,3.5,570.0,560.0
235,270.0,Depaul University,City: Large,Great Lakes,Private not-for-profit religious,15.0,2570.0,3.7,,
236,271.0,University Of Vermont,City: Small,New England,Public,16.0,2512.0,3.6,640.0,630.0
237,273.0,Auburn University,City: Small,Southeast,Public,19.0,4744.0,3.9,615.0,615.0
238,273.0,Luther College,Town: Remote,Plains,Private not-for-profit religious,11.0,554.0,3.7,585.0,595.0
239,273.0,John Carroll University,Suburb: Large,Great Lakes,Private not-for-profit religious,13.0,843.0,3.6,595.0,595.0
240,273.0,Houghton College,Rural: Remote,Mid East,Private not-for-profit religious,11.0,254.0,3.3,,
241,277.0,Xavier University Of Louisiana,City: Large,Southeast,Private not-for-profit religious,15.0,861.0,3.4,577.5,525.0
242,277.0,Sarah Lawrence College,Suburb: Large,Mid East,Private not-for-profit independent,9.0,425.0,3.7,685.0,645.0
243,277.0,Goucher College,City: Small,Mid East,Private not-for-profit independent,10.0,432.0,3.1,,
244,277.0,Westmont College,Suburb: Midsize,Far West,Private not-for-profit religious,11.0,344.0,3.6,630.0,610.0
245,281.0,Calvin College,City: Midsize,Great Lakes,Private not-for-profit religious,12.0,823.0,3.8,625.0,635.0
246,281.0,Elizabethtown College,Suburb: Large,Mid East,Private not-for-profit religious,11.0,386.0,3.5,590.0,590.0
247,283.0,Seton Hall University,Suburb: Large,Mid East,Private not-for-profit religious,13.0,1524.0,3.5,615.0,615.0
248,283.0,Saint Francis University,Town: Fringe,Mid East,Private not-for-profit religious,14.0,343.0,3.5,575.0,570.0
249,285.0,La Salle University,City: Large,Mid East,Private not-for-profit religious,12.0,1040.0,3.4,,
250,285.0,Transylvania University,City: Large,Southeast,Private not-for-profit religious,11.0,298.0,3.7,600.0,605.0
251,287.0,Concordia College At Moorhead,Suburb: Midsize,Plains,Private not-for-profit religious,12.0,597.0,3.5,600.0,624.0
252,288.0,Coe College,City: Midsize,Plains,Private not-for-profit religious,11.0,393.0,3.6,609.0,580.0
253,290.0,Hendrix College,City: Small,Southeast,Private not-for-profit religious,10.0,309.0,3.9,650.0,625.0
254,293.0,Hampshire College,Suburb: Large,New England,Private not-for-profit independent,10.0,282.0,,,
255,294.0,University Of Saint Joseph,City: Small,New England,Private not-for-profit religious,8.0,218.0,3.4,570.0,550.0
256,295.0,Queens University Of Charlotte,City: Large,Southeast,Private not-for-profit religious,10.0,368.0,3.7,569.0,556.5
257,295.0,Cedar Crest College,City: Midsize,Mid East,Private not-for-profit independent,10.0,207.0,3.4,540.0,515.0
258,295.0,Moravian College,City: Small,Mid East,Private not-for-profit religious,11.0,448.0,3.5,570.0,555.0
259,298.0,University Of Kansas,City: Small,Plains,Public,17.0,4097.0,3.6,,
260,301.0,Nazareth College,Suburb: Large,Mid East,Private not-for-profit independent,9.0,544.0,,,
261,301.0,Rider University,Suburb: Large,Mid East,Private not-for-profit independent,10.0,918.0,3.4,550.0,545.0
262,303.0,Pacific Lutheran University,Suburb: Large,Far West,Private not-for-profit religious,12.0,649.0,3.7,590.0,580.0
263,303.0,Illinois College,Town: Distant,Great Lakes,Private not-for-profit religious,13.0,294.0,3.5,,
264,305.0,Hampden-Sydney College,Rural: Distant,Southeast,Private not-for-profit independent,11.0,343.0,3.5,580.0,570.0
265,305.0,University Of Portland,City: Large,Far West,Private not-for-profit religious,12.0,1003.0,3.7,620.0,610.0
266,308.0,Western New England University,City: Midsize,New England,Private not-for-profit independent,13.0,750.0,3.4,575.0,580.0
267,308.0,Bellarmine University,City: Large,Southeast,Private not-for-profit religious,11.0,653.0,3.6,590.0,575.0
268,311.0,Baldwin Wallace University,Suburb: Large,Great Lakes,Private not-for-profit religious,11.0,677.0,3.5,580.0,560.0
269,311.0,Bard College,Town: Fringe,Mid East,Private not-for-profit independent,9.0,486.0,3.8,,
270,311.0,University Of Utah,City: Midsize,Rocky Mountains,Public,17.0,3987.0,3.6,620.0,620.0
271,315.0,Oregon State University,City: Small,Far West,Public,17.0,3341.0,3.6,595.0,600.0
272,315.0,Andrews University,Town: Fringe,Great Lakes,Private not-for-profit religious,10.0,289.0,3.6,600.0,570.0
273,315.0,Iowa State University,City: Small,Plains,Public,19.0,6034.0,3.6,615.0,598.0
274,315.0,University Of Redlands,City: Small,Far West,Private not-for-profit independent,12.0,702.0,3.7,595.0,575.0
275,321.0,Lebanon Valley College,Suburb: Small,Mid East,Private not-for-profit religious,10.0,473.0,3.6,589.0,585.0
276,321.0,Rowan University,Suburb: Large,Mid East,Public,17.0,2677.0,3.5,570.0,545.5
277,325.0,Lawrence Technological University,City: Small,Great Lakes,Private not-for-profit independent,11.0,376.0,3.4,570.0,585.0
278,325.0,University Of Missouri-Columbia,City: Midsize,Plains,Public,17.0,4615.0,3.6,600.0,590.0
279,325.0,University Of Mississippi,Town: Remote,Southeast,Public,17.0,3400.0,3.6,585.0,575.0
280,325.0,Hofstra University,Suburb: Large,Mid East,Private not-for-profit independent,13.0,1552.0,3.6,620.0,620.0
281,325.0,University Of New England,Suburb: Midsize,New England,Private not-for-profit independent,13.0,635.0,3.4,575.0,570.0
282,325.0,Saint Vincent College,Suburb: Large,Mid East,Private not-for-profit religious,11.0,417.0,3.5,575.0,555.0
283,331.0,Morehouse College,City: Large,Southeast,Private not-for-profit independent,14.0,604.0,3.2,560.0,550.0
284,331.0,William Jewell College,Suburb: Large,Plains,Private not-for-profit independent,10.0,167.0,3.6,575.0,575.0
285,331.0,Pacific University,Suburb: Large,Far West,Private not-for-profit independent,10.0,421.0,3.6,580.0,575.0
286,334.0,Georgetown College,Town: Fringe,Southeast,Private not-for-profit religious,11.0,265.0,3.4,545.0,535.0
287,336.0,University Of Mount Union,Town: Fringe,Great Lakes,Private not-for-profit religious,13.0,625.0,3.4,540.0,544.0
288,336.0,Elmhurst College,Suburb: Large,Great Lakes,Private not-for-profit religious,13.0,530.0,,550.0,541.5
289,340.0,Campbell University,Town: Fringe,Southeast,Private not-for-profit religious,16.0,812.0,3.4,565.0,555.0
290,340.0,California College Of The Arts,City: Large,Far West,Private not-for-profit independent,11.0,263.0,3.3,,
291,340.0,University Of St Thomas,City: Large,Plains,Private not-for-profit religious,14.0,1759.0,3.6,620.0,635.0
292,340.0,University Of St Thomas,City: Large,Southwest,Private not-for-profit religious,11.0,350.0,3.6,585.0,570.0
293,340.0,University Of St Thomas,City: Large,Plains,Private not-for-profit religious,14.0,1759.0,3.6,620.0,635.0
294,340.0,University Of St Thomas,City: Large,Southwest,Private not-for-profit religious,11.0,350.0,3.6,585.0,570.0
295,344.0,Whittier College,Suburb: Large,Far West,Private not-for-profit independent,11.0,508.0,3.6,566.5,555.0
296,344.0,Wayne State University,City: Large,Great Lakes,Public,14.0,2957.0,3.4,560.0,550.0
297,344.0,Wartburg College,Town: Distant,Plains,Private not-for-profit religious,11.0,469.0,3.6,540.0,550.0
298,347.0,Hartwick College,Town: Remote,Mid East,Private not-for-profit independent,10.0,407.0,3.0,560.0,570.0
299,347.0,Hiram College,Town: Fringe,Great Lakes,Private not-for-profit independent,13.0,233.0,3.4,530.0,530.0
300,350.0,Cuny Hunter College,City: Large,Mid East,Public,13.0,2589.0,3.5,610.0,630.0
301,350.0,Azusa Pacific University,Suburb: Large,Far West,Private not-for-profit religious,11.0,1107.0,3.7,570.0,560.0
302,350.0,Point Loma Nazarene University,City: Large,Far West,Private not-for-profit religious,14.0,657.0,3.8,615.0,605.0
303,353.0,Assumption College,City: Midsize,New England,Private not-for-profit religious,11.0,553.0,3.3,,
304,353.0,West Virginia University,City: Small,Southeast,Public,18.0,4714.0,3.7,575.0,570.0
305,353.0,Stetson University,Suburb: Midsize,Southeast,Private not-for-profit independent,13.0,895.0,3.8,,
306,353.0,Colorado State University-Fort Collins,City: Midsize,Rocky Mountains,Public,16.0,5282.0,3.6,590.0,585.0
307,358.0,Eckerd College,City: Large,Southeast,Private not-for-profit religious,12.0,580.0,3.5,600.0,580.0
308,360.0,Merrimack College,Suburb: Large,New England,Private not-for-profit religious,14.0,1122.0,,,
309,360.0,Cuny Brooklyn College,City: Large,Mid East,Public,16.0,1738.0,3.3,565.0,585.0
310,360.0,Taylor University,Town: Distant,Great Lakes,Private not-for-profit religious,12.0,532.0,3.7,600.0,590.0
311,360.0,St Catherine University,City: Large,Plains,Private not-for-profit religious,10.0,400.0,3.6,619.0,572.0
312,360.0,University Of Louisville,City: Large,Southeast,Public,14.0,2731.0,3.6,590.0,590.0
313,360.0,Milwaukee School Of Engineering,City: Large,Great Lakes,Private not-for-profit independent,15.0,597.0,3.7,624.0,655.0
314,366.0,New Jersey Institute Of Technology,City: Large,Mid East,Public,17.0,1264.0,3.6,625.0,660.0
315,368.0,University Of Hartford,City: Midsize,New England,Private not-for-profit independent,9.0,1210.0,3.1,580.0,570.0
316,371.0,Union University,City: Small,Southeast,Private not-for-profit religious,10.0,387.0,3.8,625.0,610.0
317,372.0,Cedarville University,Town: Fringe,Great Lakes,Private not-for-profit religious,15.0,909.0,3.7,630.0,610.0
318,372.0,Wittenberg University,City: Small,Great Lakes,Private not-for-profit religious,12.0,484.0,3.5,,
319,372.0,University Of Missouri-Kansas City,City: Large,Plains,Public,15.0,1175.0,3.4,540.0,645.0
320,375.0,Kansas State University,City: Small,Plains,Public,18.0,3413.0,3.5,,
321,375.0,Le Moyne College,Suburb: Large,Mid East,Private not-for-profit religious,12.0,656.0,3.5,585.0,590.0
322,375.0,University Of Oregon,City: Midsize,Far West,Public,17.0,4107.0,3.6,600.0,585.0
323,375.0,Brigham Young University-Hawaii,Town: Fringe,Far West,Private not-for-profit religious,17.0,546.0,,596.5,570.0
324,380.0,University Of Kentucky,City: Large,Southeast,Public,16.0,4980.0,3.5,600.0,590.0
325,381.0,Clarke University,City: Small,Plains,Private not-for-profit religious,8.0,196.0,3.4,504.0,509.0
326,383.0,San Diego State University,City: Large,Far West,Public,27.0,5646.0,3.7,605.0,605.0
327,384.0,Messiah College,Suburb: Large,Mid East,Private not-for-profit religious,12.0,647.0,3.8,600.0,595.0
328,384.0,University Of Wyoming,Town: Remote,Rocky Mountains,Public,15.0,1849.0,3.5,585.0,580.0
329,384.0,University Of Evansville,City: Midsize,Great Lakes,Private not-for-profit religious,11.0,498.0,3.7,600.0,590.0
330,387.0,Albright College,City: Small,Mid East,Private not-for-profit religious,15.0,575.0,,,
331,388.0,Randolph-Macon College,Suburb: Large,Southeast,Private not-for-profit religious,11.0,420.0,3.6,575.0,555.0
332,388.0,University Of Houston,City: Large,Southwest,Public,22.0,4919.0,3.8,610.0,610.0
333,388.0,Marist College,Suburb: Large,Mid East,Private not-for-profit independent,16.0,1299.0,3.4,,
334,392.0,Millikin University,City: Small,Great Lakes,Private not-for-profit religious,10.0,468.0,3.4,555.0,530.0
335,392.0,Eastern Mennonite University,City: Small,Southeast,Private not-for-profit religious,9.0,200.0,3.6,565.0,550.0
336,394.0,Capital University,Suburb: Large,Great Lakes,Private not-for-profit religious,11.0,589.0,3.6,560.0,545.0
337,396.0,Monmouth College,Town: Distant,Great Lakes,Private not-for-profit religious,10.0,243.0,3.3,540.0,535.0
338,398.0,Norwich University,Town: Distant,New England,Private not-for-profit independent,14.0,714.0,3.1,,
339,398.0,Canisius College,City: Large,Mid East,Private not-for-profit religious,12.0,484.0,3.5,580.0,580.0
340,398.0,Montclair State University,Suburb: Large,Mid East,Public,17.0,3168.0,3.3,545.0,535.0
341,402.0,John Brown University,Town: Distant,Southeast,Private not-for-profit independent,14.0,319.0,3.7,637.5,600.0
342,402.0,Carroll College,Town: Remote,Rocky Mountains,Private not-for-profit religious,12.0,254.0,3.6,590.0,580.0
343,405.0,School Of The Art Institute Of Chicago,City: Large,Great Lakes,Private not-for-profit independent,11.0,631.0,3.5,620.0,610.0
344,405.0,Mcdaniel College,Suburb: Small,Mid East,Private not-for-profit independent,11.0,415.0,3.5,575.0,565.0
345,405.0,Otterbein University,Suburb: Large,Great Lakes,Private not-for-profit religious,11.0,576.0,3.6,602.5,592.5
346,405.0,Suny College Of Environmental Science And Forestry,City: Midsize,Mid East,Public,14.0,386.0,3.8,610.0,605.0
347,405.0,Illinois State University,Suburb: Midsize,Great Lakes,Public,20.0,3673.0,3.4,555.0,545.0
348,411.0,Seattle Pacific University,City: Large,Far West,Private not-for-profit religious,13.0,708.0,3.5,575.0,560.0
349,411.0,Maryland Institute College Of Art,City: Large,Mid East,Private not-for-profit independent,9.0,425.0,3.5,565.0,595.0
350,414.0,Cuny Queens College,City: Large,Mid East,Public,15.0,1936.0,3.4,560.0,580.0
351,414.0,Marymount University,City: Midsize,Southeast,Private not-for-profit religious,13.0,414.0,3.3,540.0,525.0
352,417.0,James Madison University,City: Small,Southeast,Public,16.0,4540.0,3.2,610.0,595.0
353,417.0,Gordon College,Suburb: Large,New England,Private not-for-profit religious,11.0,433.0,3.6,590.0,577.5
354,419.0,Dordt College,Town: Remote,Plains,Private not-for-profit religious,14.0,328.0,,610.0,600.0
355,420.0,New York Institute Of Technology,Suburb: Large,Mid East,Private not-for-profit independent,12.0,844.0,3.3,575.0,585.0
356,421.0,Gannon University,City: Small,Mid East,Private not-for-profit religious,13.0,762.0,3.5,560.0,560.0
357,423.0,Walla Walla University,Suburb: Small,Far West,Private not-for-profit religious,14.0,402.0,3.5,530.0,535.0
358,427.0,Franklin College,Suburb: Large,Great Lakes,Private not-for-profit religious,11.0,272.0,3.5,540.0,535.0
359,427.0,Roanoke College,Suburb: Midsize,Southeast,Private not-for-profit religious,11.0,576.0,3.5,580.0,555.0
360,427.0,Eastern Illinois University,Town: Distant,Great Lakes,Public,13.0,796.0,3.2,520.0,495.0
361,427.0,Oglethorpe University,Suburb: Large,Southeast,Private not-for-profit independent,15.0,329.0,3.6,615.0,585.0
362,427.0,University Of Arkansas,City: Small,Southeast,Public,18.0,4977.0,3.7,605.0,590.0
363,433.0,Roosevelt University,City: Large,Great Lakes,Private not-for-profit independent,10.0,323.0,3.4,555.0,540.0
364,433.0,Hamline University,City: Large,Plains,Private not-for-profit religious,12.0,538.0,3.5,600.0,570.0
365,433.0,Belmont University,City: Large,Southeast,Private not-for-profit religious,14.0,1561.0,3.7,620.0,590.0
366,436.0,East Carolina University,City: Small,Southeast,Public,18.0,4106.0,3.8,560.0,555.0
367,437.0,Misericordia University,Suburb: Large,Mid East,Private not-for-profit religious,11.0,410.0,3.4,560.0,560.0
368,437.0,Central College,Town: Distant,Plains,Private not-for-profit religious,11.0,278.0,3.6,545.0,500.0
369,439.0,Meredith College,City: Large,Southeast,Private not-for-profit independent,11.0,401.0,3.4,560.0,540.0
370,439.0,Wagner College,City: Large,Mid East,Private not-for-profit religious,15.0,418.0,3.6,,
371,441.0,Salem College,City: Midsize,Southeast,Private not-for-profit religious,11.0,101.0,3.8,585.0,570.0
372,441.0,Nebraska Wesleyan University,City: Large,Plains,Private not-for-profit religious,10.0,487.0,3.6,570.0,570.0
373,445.0,Florida Agricultural And Mechanical University,City: Midsize,Southeast,Public,16.0,1325.0,3.4,560.0,545.0
374,445.0,University Of Central Florida,Suburb: Large,Southeast,Public,30.0,7066.0,4.0,630.0,620.0
375,448.0,Simpson College,Town: Fringe,Plains,Private not-for-profit religious,11.0,360.0,,585.0,565.0
376,448.0,The New School,City: Large,Mid East,Private not-for-profit independent,10.0,1763.0,3.6,630.0,625.0
377,450.0,Stevenson University,Rural: Fringe,Mid East,Private not-for-profit independent,14.0,604.0,3.1,565.0,550.0
378,450.0,Berry College,Suburb: Small,Southeast,Private not-for-profit independent,11.0,509.0,3.7,615.0,595.0
379,450.0,Lycoming College,City: Small,Mid East,Private not-for-profit religious,12.0,323.0,3.5,555.0,549.0
380,453.0,Winston-Salem State University,City: Midsize,Southeast,Public,14.0,934.0,3.0,485.0,475.0
381,453.0,Emerson College,City: Large,New England,Private not-for-profit independent,15.0,923.0,3.7,650.0,645.0
382,453.0,Roger Williams University,Suburb: Large,New England,Private not-for-profit independent,14.0,1040.0,3.3,,
383,453.0,Salve Regina University,Suburb: Large,New England,Private not-for-profit religious,13.0,493.0,3.4,,
384,453.0,University Of Indianapolis,City: Large,Great Lakes,Private not-for-profit religious,13.0,1210.0,3.5,550.0,535.0
385,453.0,St Bonaventure University,Town: Remote,Mid East,Private not-for-profit religious,12.0,551.0,3.4,565.0,575.0
386,453.0,Notre Dame Of Maryland University,City: Large,Mid East,Private not-for-profit religious,10.0,225.0,3.7,535.0,500.0
387,461.0,Alfred University,Town: Remote,Mid East,Private not-for-profit independent,11.0,437.0,3.1,535.0,550.0
388,461.0,Loyola University New Orleans,City: Large,Southeast,Private not-for-profit religious,12.0,768.0,3.5,595.0,555.0
389,461.0,The University Of The Arts,City: Large,Mid East,Private not-for-profit independent,8.0,425.0,,,
390,464.0,Massachusetts College Of Art And Design,City: Large,New England,Public,10.0,362.0,3.5,,
391,464.0,Trinity Christian College,Suburb: Large,Great Lakes,Private not-for-profit religious,10.0,153.0,3.3,530.0,525.0
392,464.0,Christian Brothers University,City: Large,Southeast,Private not-for-profit religious,12.0,393.0,3.7,,
393,467.0,Massachusetts Maritime Academy,Suburb: Midsize,New England,Public,16.0,399.0,3.2,560.0,565.0
394,469.0,University Of Dallas,City: Midsize,Southwest,Private not-for-profit religious,11.0,376.0,3.9,625.0,605.0
395,469.0,University Of Nebraska-Lincoln,City: Large,Plains,Public,18.0,4802.0,3.6,625.0,620.0
396,469.0,Wilkes University,City: Small,Mid East,Private not-for-profit independent,12.0,631.0,3.6,575.0,570.0
397,469.0,Mcphs University,City: Large,New England,Private not-for-profit independent,16.0,682.0,3.5,555.0,575.0
398,473.0,College Of Mount Saint Vincent,City: Large,Mid East,Private not-for-profit religious,13.0,412.0,3.1,515.0,500.0
399,473.0,Virginia Commonwealth University,City: Midsize,Southeast,Public,18.0,4517.0,3.7,595.0,570.0
400,473.0,University Of Michigan-Dearborn,City: Small,Great Lakes,Public,17.0,1059.0,3.6,590.0,590.0
401,476.0,California Lutheran University,City: Midsize,Far West,Private not-for-profit religious,16.0,681.0,3.7,585.0,575.0
402,476.0,South Dakota School Of Mines And Technology,City: Small,Plains,Public,15.0,457.0,3.6,620.0,641.5
403,478.0,Wentworth Institute Of Technology,City: Large,New England,Private not-for-profit independent,18.0,1017.0,3.1,580.0,600.0
404,478.0,Western Illinois University,Town: Remote,Great Lakes,Public,13.0,923.0,3.3,515.0,505.0
405,480.0,Whitworth University,Suburb: Large,Far West,Private not-for-profit religious,11.0,696.0,3.8,600.0,590.0
406,480.0,Lincoln Memorial University,Town: Distant,Southeast,Private not-for-profit independent,14.0,302.0,3.5,554.0,546.5
407,483.0,Spring Hill College,City: Midsize,Southeast,Private not-for-profit religious,13.0,309.0,3.6,550.0,550.0
408,483.0,Northwestern College,Town: Distant,Plains,Private not-for-profit religious,10.0,271.0,3.6,570.0,580.0
409,483.0,Saint Xavier University,City: Large,Great Lakes,Private not-for-profit religious,15.0,703.0,3.4,525.0,515.0
410,487.0,Mississippi State University,Town: Remote,Southeast,Public,17.0,3550.0,3.4,600.0,600.0
411,487.0,Barry University,Suburb: Large,Southeast,Private not-for-profit religious,12.0,639.0,3.1,520.0,475.0
412,487.0,University Of North Carolina At Charlotte,City: Large,Southeast,Public,19.0,3678.0,4.0,595.0,600.0
413,492.0,Ferris State University,Town: Distant,Great Lakes,Public,16.0,1833.0,3.4,530.0,525.0
414,492.0,Gwynedd Mercy University,Suburb: Large,Mid East,Private not-for-profit religious,10.0,276.0,3.2,520.0,505.0
415,496.0,Stockton University,Suburb: Midsize,Mid East,Public,17.0,1594.0,3.4,550.0,545.0
416,496.0,Chestnut Hill College,City: Large,Mid East,Private not-for-profit religious,10.0,164.0,3.2,520.0,510.0
417,499.0,Chatham University,City: Large,Mid East,Private not-for-profit independent,10.0,278.0,3.7,,
418,550.0,Iona College,Suburb: Large,Mid East,Private not-for-profit religious,16.0,852.0,3.0,545.0,535.0
419,550.0,Hood College,City: Small,Mid East,Private not-for-profit independent,10.0,239.0,3.3,,
420,550.0,University Of Idaho,Town: Distant,Rocky Mountains,Public,15.0,1406.0,3.4,565.0,550.0
